Year,Tag,Number,Total
"2016",".a","10","2220598"
"2016",".app","21","2220598"
"2016",".aspxauth","2","2220598"
"2016",".bash-profile","111","2220598"
"2016",".class-file","20","2220598"
"2016",".doc","10","2220598"
"2016",".emf","2","2220598"
"2016",".git-folder","1","2220598"
"2016",".htaccess","8103","2220598"
"2016",".htpasswd","46","2220598"
"2016",".ico","4","2220598"
"2016",".lib","14","2220598"
"2016",".mov","4","2220598"
"2016",".net","21201","2220598"
"2016",".net-1.1","9","2220598"
"2016",".net-2.0","41","2220598"
"2016",".net-3.0","1","2220598"
"2016",".net-3.5","93","2220598"
"2016",".net-4.0","214","2220598"
"2016",".net-4.5","297","2220598"
"2016",".net-4.5.2","56","2220598"
"2016",".net-4.6","108","2220598"
"2016",".net-4.6.1","45","2220598"
"2016",".net-4.6.2","20","2220598"
"2016",".net-assembly","312","2220598"
"2016",".net-cf-3.5","12","2220598"
"2016",".net-core","1637","2220598"
"2016",".net-core-1.1","1","2220598"
"2016",".net-core-rc1","10","2220598"
"2016",".net-core-rc2","156","2220598"
"2016",".net-framework-version","58","2220598"
"2016",".net-gadgeteer","2","2220598"
"2016",".net-micro-framework","10","2220598"
"2016",".net-native","42","2220598"
"2016",".net-reflector","9","2220598"
"2016",".net-remoting","19","2220598"
"2016",".net-services","1","2220598"
"2016",".net-standard","45","2220598"
"2016",".net-standard-1.5","17","2220598"
"2016",".nettiers","2","2220598"
"2016",".obj","37","2220598"
"2016",".post","11","2220598"
"2016",".profile","11","2220598"
"2016",".refresh","1","2220598"
"2016",".so","62","2220598"
"2016",".when","30","2220598"
"2016",".x","1","2220598"
"2016","10gen-csharp-driver","1","2220598"
"2016","128bit","5","2220598"
"2016","12factor","7","2220598"
"2016","16-bit","37","2220598"
"2016","1wire","3","2220598"
"2016","2.5d","3","2220598"
"2016","2048","4","2220598"
"2016","2-3-4-tree","3","2220598"
"2016","23andme-api","1","2220598"
"2016","2-3-tree","2","2220598"
"2016","24bit","4","2220598"
"2016","256color","3","2220598"
"2016","2checkout","30","2220598"
"2016","2d","665","2220598"
"2016","2d-3d-conversion","1","2220598"
"2016","2d-games","123","2220598"
"2016","2-digit-year","3","2220598"
"2016","2dsphere","13","2220598"
"2016","2d-vector","19","2220598"
"2016","2-legged","2","2220598"
"2016","2phase-commit","2","2220598"
"2016","2-satisfiability","2","2220598"
"2016","2sxc","126","2220598"
"2016","2-way-object-databinding","64","2220598"
"2016","3270","2","2220598"
"2016","32-bit","79","2220598"
"2016","32bit-64bit","153","2220598"
"2016","32feet","19","2220598"
"2016","360-degrees","38","2220598"
"2016","360-panorama","42","2220598"
"2016","360-panorama-viewer","16","2220598"
"2016","360-virtual-reality","45","2220598"
"2016","37-signals","2","2220598"
"2016","3cx","1","2220598"
"2016","3d","1531","2220598"
"2016","3dcamera","3","2220598"
"2016","3d-engine","3","2220598"
"2016","3des","27","2220598"
"2016","3d-model","34","2220598"
"2016","3d-modelling","34","2220598"
"2016","3dr","4","2220598"
"2016","3d-reconstruction","44","2220598"
"2016","3d-rendering","5","2220598"
"2016","3ds","11","2220598"
"2016","3d-secure","6","2220598"
"2016","3dsmax","69","2220598"
"2016","3d-studio","1","2220598"
"2016","3d-texture","7","2220598"
"2016","3dtouch","144","2220598"
"2016","3g","37","2220598"
"2016","3g-network","2","2220598"
"2016","3gp","1","2220598"
"2016","3nf","22","2220598"
"2016","3scale","1","2220598"
"2016","3-tier","18","2220598"
"2016","3-way-merge","2","2220598"
"2016","4d","12","2220598"
"2016","4d-database","18","2220598"
"2016","4g","29","2220598"
"2016","4gl","22","2220598"
"2016","4store","1","2220598"
"2016","500px","3","2220598"
"2016","51degrees","3","2220598"
"2016","64bit","326","2220598"
"2016","6502","11","2220598"
"2016","68000","18","2220598"
"2016","68hc11","3","2220598"
"2016","68hc12","11","2220598"
"2016","6nf","1","2220598"
"2016","777","2","2220598"
"2016","7bit","4","2220598"
"2016","7digital","3","2220598"
"2016","7zip","152","2220598"
"2016","802.11","33","2220598"
"2016","802.11p","2","2220598"
"2016","8051","35","2220598"
"2016","8085","11","2220598"
"2016","8bit","18","2220598"
"2016","8-puzzle","20","2220598"
"2016","960.gs","3","2220598"
"2016","a2dp","16","2220598"
"2016","a2lix-translation","5","2220598"
"2016","aaa-security-protocol","4","2220598"
"2016","aabb","12","2220598"
"2016","aac","45","2220598"
"2016","aapt","45","2220598"
"2016","aar","176","2220598"
"2016","aasm","16","2220598"
"2016","abac","41","2220598"
"2016","abaddressbook","44","2220598"
"2016","abaddressbooksource","3","2220598"
"2016","abap","268","2220598"
"2016","abaqus","92","2220598"
"2016","abas","6","2220598"
"2016","abbreviation","9","2220598"
"2016","abbyy","9","2220598"
"2016","abc","24","2220598"
"2016","abcpdf","26","2220598"
"2016","abcpdf9","4","2220598"
"2016","abi","93","2220598"
"2016","abide","4","2220598"
"2016","ab-initio","14","2220598"
"2016","ableton-live","6","2220598"
"2016","ably-realtime","1","2220598"
"2016","abnf","4","2220598"
"2016","abort","54","2220598"
"2016","about-box","1","2220598"
"2016","abpeoplepickerview","3","2220598"
"2016","abperson","1","2220598"
"2016","abpersonviewcontroller","2","2220598"
"2016","abrecord","1","2220598"
"2016","absolute","109","2220598"
"2016","absolutelayout","10","2220598"
"2016","absolute-path","48","2220598"
"2016","absolute-value","14","2220598"
"2016","abstract","238","2220598"
"2016","abstract-action","5","2220598"
"2016","abstract-algebra","2","2220598"
"2016","abstract-base-class","7","2220598"
"2016","abstract-class","441","2220598"
"2016","abstract-data-type","40","2220598"
"2016","abstract-factory","26","2220598"
"2016","abstraction","86","2220598"
"2016","abstraction-layer","5","2220598"
"2016","abstract-methods","17","2220598"
"2016","abstract-syntax-tree","288","2220598"
"2016","abstracttablemodel","25","2220598"
"2016","abstract-type","8","2220598"
"2016","abtest","8","2220598"
"2016","ab-testing","48","2220598"
"2016","abuse","3","2220598"
"2016","acaccount","2","2220598"
"2016","acaccountstore","3","2220598"
"2016","acc","1","2220598"
"2016","acceleo","6","2220598"
"2016","accelerate","10","2220598"
"2016","accelerated-c++","3","2220598"
"2016","accelerated-mobile-page","11","2220598"
"2016","accelerate-framework","24","2220598"
"2016","accelerate-haskell","1","2220598"
"2016","acceleration","13","2220598"
"2016","accelerator","4","2220598"
"2016","acceleratorkey","4","2220598"
"2016","accelerometer","243","2220598"
"2016","accent-insensitive","7","2220598"
"2016","acceptance","4","2220598"
"2016","acceptance-testing","84","2220598"
"2016","acceptbutton","3","2220598"
"2016","access","755","2220598"
"2016","access-control","127","2220598"
"2016","accesscontrolexception","12","2220598"
"2016","accesscontrolservice","1","2220598"
"2016","access-data-project","1","2220598"
"2016","access-denied","70","2220598"
"2016","accessibility","529","2220598"
"2016","accessibility-api","11","2220598"
"2016","accessibilityservice","65","2220598"
"2016","accessible","3","2220598"
"2016","access-keys","8","2220598"
"2016","access-levels","4","2220598"
"2016","access-log","24","2220598"
"2016","access-modifiers","85","2220598"
"2016","accessor","62","2220598"
"2016","accessory","9","2220598"
"2016","accessoryview","21","2220598"
"2016","access-point","19","2220598"
"2016","access-protection","1","2220598"
"2016","access-rights","37","2220598"
"2016","access-rules","3","2220598"
"2016","access-specifier","21","2220598"
"2016","access-token","323","2220598"
"2016","access-vba","1688","2220598"
"2016","access-violation","139","2220598"
