Year,Tag,Number,Total
"2017",".a","15","2141036"
"2017",".app","5","2141036"
"2017",".aspxauth","3","2141036"
"2017",".bash-profile","50","2141036"
"2017",".class-file","15","2141036"
"2017",".d.ts","7","2141036"
"2017",".doc","9","2141036"
"2017",".git-folder","6","2141036"
"2017",".htaccess","6748","2141036"
"2017",".htpasswd","32","2141036"
"2017",".ico","2","2141036"
"2017",".lib","9","2141036"
"2017",".mov","2","2141036"
"2017",".net","18501","2141036"
"2017",".net-1.1","12","2141036"
"2017",".net-2.0","35","2141036"
"2017",".net-3.0","4","2141036"
"2017",".net-3.5","105","2141036"
"2017",".net-4.0","161","2141036"
"2017",".net-4.5","197","2141036"
"2017",".net-4.5.2","14","2141036"
"2017",".net-4.6","76","2141036"
"2017",".net-4.6.1","49","2141036"
"2017",".net-4.6.2","56","2141036"
"2017",".net-4.7","41","2141036"
"2017",".net-4.7.1","3","2141036"
"2017",".net-assembly","318","2141036"
"2017",".net-attributes","4","2141036"
"2017",".net-cf-3.5","4","2141036"
"2017",".net-core","3844","2141036"
"2017",".net-core-1.1","20","2141036"
"2017",".net-core-2.0","150","2141036"
"2017",".net-core-rc1","1","2141036"
"2017",".net-core-rc2","13","2141036"
"2017",".net-framework-version","88","2141036"
"2017",".net-micro-framework","6","2141036"
"2017",".net-native","36","2141036"
"2017",".netrc","3","2141036"
"2017",".net-reflector","4","2141036"
"2017",".net-remoting","12","2141036"
"2017",".net-security","3","2141036"
"2017",".net-standard","494","2141036"
"2017",".net-standard-1.4","21","2141036"
"2017",".net-standard-1.5","12","2141036"
"2017",".net-standard-2.0","115","2141036"
"2017",".obj","37","2141036"
"2017",".post","11","2141036"
"2017",".profile","5","2141036"
"2017",".refresh","1","2141036"
"2017",".so","58","2141036"
"2017",".when","20","2141036"
"2017","128bit","3","2141036"
"2017","12factor","16","2141036"
"2017","16-bit","30","2141036"
"2017","1wire","3","2141036"
"2017","2.5d","3","2141036"
"2017","2048","16","2141036"
"2017","2-3-4-tree","3","2141036"
"2017","23andme-api","4","2141036"
"2017","2-3-tree","1","2141036"
"2017","24bit","3","2141036"
"2017","256color","1","2141036"
